,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
33433,KLCC,1920000.0,1.5,2.0,1.0,Condominium,989.0,Fully Furnished
33434,KLCC,3000000.0,5.0,5.0,3.0,Serviced Residence,3303.0,Fully Furnished
33435,KLCC,4072500.0,4.0,5.0,0.0,Serviced Residence,3541.0,Unfurnished
33436,CITY CENTRE,1802500.0,3.0,3.0,1.0,Serviced Residence,1442.0,Fully Furnished
33437,KL CITY,1500000.0,3.0,4.0,0.0,Condominium,1711.0,Fully Furnished
33438,CITY CENTRE,1450000.0,3.0,3.0,0.0,Condominium,1411.0,Fully Furnished
33439,KLCC,4072500.0,4.0,5.0,0.0,Condominium,3767.0,Fully Furnished
33440,KLCC,3000000.0,5.0,6.0,0.0,Serviced Residence,3006.0,Fully Furnished
33441,MONT KIARA,938000.0,4.0,3.0,2.0,Condominium,1600.0,Fully Furnished
33443,MONT KIARA,1050000.0,4.0,3.0,1.0,Condominium,1600.0,Fully Furnished
33444,JALAN KLANG LAMA (OLD KLANG ROAD),310500.0,3.0,2.0,0.0,Condominium,926.0,Partly Furnished
33445,MONT KIARA,850000.0,4.0,3.0,1.0,Serviced Residence,1428.0,Unfurnished
33446,KLCC,1130000.0,1.5,1.0,1.0,Serviced Residence,1123.0,Fully Furnished
33447,MONT KIARA,1180000.0,4.0,2.0,0.0,Serviced Residence,979.0,Unfurnished
33448,MONT KIARA,1350000.0,4.0,3.0,2.0,Condominium,1668.0,Fully Furnished
33449,MONT KIARA,2150000.0,4.0,4.0,2.0,Condominium,2535.0,Unfurnished
33451,KLCC,1488888.0,3.0,3.0,1.0,Condominium,1551.0,Fully Furnished
33452,CHERAS,550000.0,3.0,2.0,2.0,Condominium,1100.0,Partly Furnished
33453,CHERAS,568000.0,3.0,2.0,2.0,Condominium,1000.0,Partly Furnished
33454,SRI PETALING,410000.0,3.0,2.0,1.0,Condominium,1129.0,Partly Furnished
33456,SETAPAK,385000.0,3.0,2.0,1.0,Condominium,930.0,Partly Furnished
33457,CHERAS,609000.0,4.0,3.0,0.0,2-sty Terrace/Link House,1300.0,Partly Furnished
33458,BUKIT JALIL,450000.0,2.0,2.0,1.0,Apartment,1018.0,Fully Furnished
33459,BUKIT JALIL,530000.0,3.0,2.0,1.0,Apartment,1018.0,Fully Furnished
33460,BUKIT JALIL,440000.0,2.0,2.0,1.0,Apartment,1018.0,Partly Furnished
33461,KL SENTRAL,1420000.0,2.0,2.0,1.0,Serviced Residence,1087.0,Fully Furnished
33463,BRICKFIELDS,650000.0,1.5,1.0,1.0,Condominium,813.0,Unfurnished
33464,BRICKFIELDS,950000.0,2.0,2.0,1.0,Condominium,1166.0,Unfurnished
33465,BRICKFIELDS,650000.0,1.5,1.0,1.0,Condominium,813.0,Unfurnished
33467,BRICKFIELDS,595000.0,4.0,1.0,1.0,Serviced Residence,486.0,Fully Furnished
33469,KL SENTRAL,2800000.0,4.0,3.0,2.0,Serviced Residence,1873.0,Partly Furnished
33470,BRICKFIELDS,980000.0,2.0,2.0,0.0,Serviced Residence,1009.0,Fully Furnished
33471,KLCC,4072500.0,3.0,4.0,0.0,Condominium,4477.5,Partly Furnished
33472,BUKIT JALIL,2380000.0,5.5,7.0,4.0,2.5-sty Terrace/Link House,3200.0,Unfurnished
33474,JALAN KLANG LAMA (OLD KLANG ROAD),1150000.0,3.0,3.0,2.0,Condominium,1707.0,Unfurnished
33475,JALAN KLANG LAMA (OLD KLANG ROAD),1280000.0,5.0,4.0,3.0,Condominium,2128.0,Unfurnished
33476,JALAN KLANG LAMA (OLD KLANG ROAD),1080000.0,4.0,4.0,2.0,Condominium,1875.0,Unfurnished
33477,JALAN KLANG LAMA (OLD KLANG ROAD),1438000.0,5.0,4.0,3.0,Condominium,2378.0,Partly Furnished
33478,JALAN KLANG LAMA (OLD KLANG ROAD),938000.0,3.0,3.0,2.0,Condominium,1523.0,Unfurnished
33479,WANGSA MAJU,870000.0,4.0,4.0,2.0,2-sty Terrace/Link House,1440.0,Unfurnished
